itemid,title,price,stock_status,page,size,mass,ISBN,original_title,publish_date,publish_company,writer,artist,image_url
168719150,미즈 마블 4,12000,in stock,120,167*257,360,9.78895E+12,원제 : Ms. Marvel Volume 4: Last Days,9/25/18,시공사(만화),G. 윌로우 윌슨,애드리언 알포나,https://image.aladin.co.kr/product/16871/91/cover500/8952793501_1.jpg
168718381,캡틴 아메리카 : 리본,19000,out of stock,232,167*257,570,9.78895E+12,원제 : Captain America: Reborn,9/25/18,시공사(만화),에드 브루베이커,"브라이언 히치, 부치 가이스",https://image.aladin.co.kr/product/16871/83/cover500/8952792505_1.jpg
168675223,올스타 배트맨 Vol.1 : 내 최악의 적,15000,in stock,192,167*257,469,9.78895E+12,원제 : All-Star Batman Vol.1 My Own Worst Enemy,9/25/18,시공사(만화),스콧 스나이더,"존 로미타 주니어, 대니 미키, 데클란 셸비",https://image.aladin.co.kr/product/16867/52/cover500/895279348x_1.jpg
168674969,아쿠아맨 Vol.1 : 침몰,15000,in stock,176,168*257,441,9.78895E+12,원제 : The Auqaman Vol.1: Drowning,9/25/18,시공사(만화),댄 애브넷,"브래드 워커, 필리프 브리오네스",https://image.aladin.co.kr/product/16867/49/cover500/8952793498_1.jpg
168674629,어메이징 스파이더맨 : 원 모어 데이,12000,in stock,136,167*257,359,9.78895E+12,원제 : The Amazing Spider - Man: One More Day,9/25/18,시공사(만화),J. 마이클 스트라진스키,조 퀘사다,https://image.aladin.co.kr/product/16867/46/cover500/8952793528_1.jpg
168458083,헬보이 Hellboy 4,12000,out of stock,144,167*257,362,9.78895E+12,원제 : Hellboy™: The Right Hand of Doom (1998년),9/25/18,시공사(만화),,,https://image.aladin.co.kr/product/16845/80/cover500/895279351x_1.jpg
164088107,캡틴 아메리카 : 로드 투 리본,15000,in stock,176,167*257,438,9.78895E+12,원제 : Captaiin America : Road To Reborn,8/25/18,시공사(만화),에드 브루베이커,진 콜런,https://image.aladin.co.kr/product/16408/81/cover500/8952791495_1.jpg
164081860,(뉴 52) 배트맨 Vol.4 : 제로 이어 - 비밀의 도시,15000,in stock,176,167*257,439,9.78895E+12,원제 : Batman Vol. 4 : Zero Year - Secret City,8/25/18,시공사(만화),,그렉 카풀로,https://image.aladin.co.kr/product/16408/18/cover500/8952792459_1.jpg
163676614,배트맨 디텍티브 코믹스 Vol.1 : 배트맨들의 출현,15000,in stock,176,167*257,439,9.78895E+12,원제 : Batman Detective Comimics Vol. 1: Rise of the Batmen,8/25/18,시공사(만화),제임스 타이니언 4세,"에디 배로우즈, 알바로 마르티네스",https://image.aladin.co.kr/product/16367/66/cover500/s322533051_1.jpg
163675863,아메리칸 뱀파이어 Vol. 4,18000,in stock,208,167*257,508,9.78895E+12,원제 : American Vampire Volume 4,8/25/18,시공사(만화),스콧 스나이더,"라파엘 앨버커키, 호르디 베르네트",https://image.aladin.co.kr/product/16367/58/cover500/8952792475_1.jpg
163232626,수어사이드 스쿼드 Vol. 1 : 블랙 볼트,14000,in stock,160,167*257,401,9.78895E+12,원제 : Suicide Squad Vol. 1: The Black Vault,8/25/18,시공사(만화),롭 윌리엄스,"필립 탄, 짐 리, 제이슨 파보크",https://image.aladin.co.kr/product/16323/26/cover500/8952792467_1.jpg
163232150,(뉴 52) 배트맨 Vol.3 : 가족의 죽음,15000,in stock,176,167*257,440,9.78895E+12,원제 : Batman Vol. 3: Death Of The Family,8/25/18,시공사(만화),,"그렉 카풀로, 조나단 글래피언",https://image.aladin.co.kr/product/16323/21/cover500/8952792440_1.jpg
158380626,DC 유니버스 리버스 : 디럭스 에디션,12000,in stock,96,167*257,144,9.78895E+12,원제 : DC Universe: Rebirth - The Deluxe Edition,7/25/18,시공사(만화),제프 존스,"개리 프랭크, 에단 반 스카이버, 아이반 라이스, 필 히메네스",https://image.aladin.co.kr/product/15838/6/cover500/8952791363_1.jpg
158317701,플래시 Vol. 1 : 번개는 두 번 친다,18000,in stock,216,167*257,410,9.78895E+12,원제 : The Flash VOL. 1: Lightning Strikes Twice,7/25/18,시공사(만화),조슈아 윌리엄슨,"카르미네 디 지안도메니코, 이반 플라센시아",https://image.aladin.co.kr/product/15831/77/cover500/8952791398_1.jpg
